(2312620.7997000003, 5037424.2039)
(2312732.3114, 5037466.385500001)
(2313252.4605, 5037473.5393)
(2313251.6404999997, 5037470.9692)
(2312900.319, 5036725.341399999)
(2311124.3257, 5034880.4111)
(2311063.2879, 5034924.5613)
(2310864.1151, 5034882.299000001)
(2310862.2251000004, 5034883.549000001)
(2310840.1048, 5034895.2991)
(2312400.8817999996, 5034883.809800001)
(2312407.1416999996, 5034911.430500001)
(2310692.8623, 5035038.071)
(2310693.3323, 5035038.721000001)
(2310699.2523999996, 5035037.491)
(2312533.5931, 5035038.813999999)
(2312523.9732999997, 5034978.8027)
(2310487.1500000004, 5035039.5995000005)
(2310520.4204, 5035032.999600001)
(2310975.5566, 5034886.4999)
(2310928.0957000004, 5034901.369899999)
(2311529.7367000002, 5034953.4015)
(2311549.3664999995, 5034925.364700001)
(2312640.4855000004, 5034953.972999999)
(2312654.1626000004, 5034944.1515999995)
(2311538.9732, 5035428.4551)
(2311554.8435000004, 5035416.7249)
(2311964.3698000005, 5035568.130899999)
(2311949.0395, 5035573.0309)
(2312020.6108, 5035570.951400001)
(2312033.8710000003, 5035564.111300001)
(2311791.2767000003, 5035572.289799999)
(2311800.0368999997, 5035569.9498)
(2311288.2468, 5035744.539899999)
(2311333.8777, 5035719.079600001)
(2311029.2522, 5035746.618100001)
(2311038.0922999997, 5035749.7982)
(2311067.1017000005, 5035943.1524)
(2311048.3015, 5035909.3616)
(2310745.3306, 5035432.729499999)
(2310761.3507000003, 5035443.1799)
(2311777.6573, 5035434.5569)
(2311776.3973000003, 5035429.296700001)
(2311625.4804, 5035434.731699999)
(2311623.4053999996, 5035436.3683)
(2310711.0102000004, 5035436.769400001)
(2310733.8261, 5035449.958900001)
(2311676.7715, 5035579.137800001)
(2311648.4741, 5035593.2491999995)
(2311980.2099, 5035587.9915)
(2311995.4302000003, 5035583.941500001)
(2311559.1651999997, 5035589.116599999)
(2311571.9688999997, 5035578.6828000005)
(2310660.3192, 5035589.557499999)
(2310676.0552000003, 5035569.959000001)
(2310209.3167000003, 5035084.6884)
(2310203.4365999997, 5035086.0484)
(2310897.6498999996, 5035134.885)
(2310899.4941999996, 5035113.2741)
(2310702.9792, 5035592.2425)
(2310687.7991000004, 5035580.202199999)
(2312758.6552999998, 5036927.054500001)
(2312763.5255000005, 5036902.314099999)
(2312631.8329999996, 5036940.914000001)
(2312633.4529999997, 5036942.134)
(2312623.8603, 5037344.452199999)
(2312621.6500000004, 5037377.412900001)
(2312654.7507999996, 5037352.5326000005)
(2312655.4408, 5037352.5726)
(2312669.9266999997, 5037360.8267)
(2312669.541, 5037364.892999999)
(2311098.3503, 5036249.169)
(2311119.1207, 5036240.6888999995)
(2311165.9614000004, 5036265.799799999)
(2311131.8808000004, 5036271.649700001)
(2311136.1408, 5036281.9899)
(2312624.1399999997, 5037387.633099999)
(2312651.7304999996, 5037390.213400001)
(2313091.0577999996, 5037444.317500001)
(2313098.1679999996, 5037444.287599999)
(2311846.3097, 5035247.353499999)
(2311853.4699, 5035240.883400001)
(2311031.5453000003, 5035247.9377999995)
(2311063.1561000003, 5035206.8572)
(2311717.1684999997, 5035075.989)
(2311696.3381000003, 5035083.229)
(2311350.6720000003, 5035076.6865)
(2311357.6722, 5035066.5163)
(2312228.7275, 5035079.072699999)
(2312228.5475000003, 5035078.512700001)
(2311410.8115999997, 5035126.6217)
(2311432.493, 5035143.9584)
(2312241.7573999995, 5035130.013800001)
